epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,448.911,1.25881,0.60657,1.32048,0.96978,0.94402,0.97493,0.66525,1.22407,0.51785,1.4342,0.0011288,0.0011288,0.0011288
68,455.533,1.27524,0.58914,1.3329,0.98372,0.97059,0.99373,0.6555,1.27412,0.50726,1.49937,0.0011156,0.0011156,0.0011156
69,462.065,1.23888,0.58574,1.32085,0.98176,0.97059,0.98596,0.68105,1.1945,0.48781,1.41233,0.0011024,0.0011024,0.0011024
70,468.611,1.18351,0.57027,1.28375,1,0.98485,0.9934,0.6828,1.18337,0.48141,1.3655,0.0010892,0.0010892,0.0010892
71,475.233,1.2015,0.57835,1.31077,0.98549,0.99915,0.99442,0.68312,1.16728,0.54318,1.4057,0.001076,0.001076,0.001076
72,481.784,1.18453,0.57464,1.281,0.98524,0.98167,0.99443,0.68213,1.1772,0.50696,1.37078,0.0010628,0.0010628,0.0010628
73,488.388,1.2019,0.57567,1.29993,0.99572,0.98529,0.99471,0.63134,1.2773,0.50845,1.48673,0.0010496,0.0010496,0.0010496
74,494.956,1.2325,0.59131,1.32971,0.97,0.97059,0.9835,0.6448,1.29311,0.51172,1.43798,0.0010364,0.0010364,0.0010364
75,501.483,1.17566,0.57227,1.29526,0.95503,0.97059,0.98172,0.68864,1.16685,0.50738,1.3883,0.0010232,0.0010232,0.0010232
76,508.066,1.20084,0.56728,1.27552,0.98535,1,0.99399,0.65505,1.26249,0.50324,1.41347,0.00101,0.00101,0.00101
77,514.596,1.18208,0.56202,1.28429,0.99058,0.97059,0.99417,0.65969,1.22674,0.49909,1.37458,0.0009968,0.0009968,0.0009968
78,521.127,1.16501,0.56082,1.26128,0.9834,0.97059,0.98823,0.68486,1.19785,0.49575,1.37751,0.0009836,0.0009836,0.0009836
79,527.658,1.22939,0.58053,1.32459,0.98501,0.96635,0.99029,0.67685,1.24256,0.4851,1.40058,0.0009704,0.0009704,0.0009704
80,534.186,1.16781,0.5526,1.26692,1,0.98012,0.99471,0.69611,1.17682,0.47521,1.38416,0.0009572,0.0009572,0.0009572
81,540.761,1.17143,0.56635,1.28949,0.99744,0.98529,0.99486,0.67738,1.16698,0.48672,1.36799,0.000944,0.000944,0.000944
82,547.391,1.1793,0.56845,1.28949,1,0.96406,0.99343,0.67458,1.19751,0.50876,1.39735,0.0009308,0.0009308,0.0009308
83,553.939,1.19119,0.56713,1.27146,0.97875,0.97059,0.98609,0.65986,1.2088,0.50682,1.43589,0.0009176,0.0009176,0.0009176
